Feature ID	Taxon	Confidence
e0c51e86d61f7791256c708c2efb1202	d__Eukaryota; p__Retaria; c__RAD_B; o__RAD_B; f__RAD_B; g__RAD_B; s__Spumellarian_radiolarian	0.8015784402694576
f58bdd4126b3822e0f80f23622a71436	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Phyllopharyngea; g__Acineta; s__uncultured_marine	0.9434040382930833
47f5df9c15340d54dcaa9da80b888b5a	d__Eukaryota; p__Diatomea; c__Coscinodiscophytina; o__Coscinodiscophytina; f__Rhizosolenids; g__Guinardia; s__Guinardia_striata	0.9798282991947391
701fedecd0e3a56df8218ceed546fa0d	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Phyllopharyngea; g__Acineta; s__uncultured_marine	0.9532610003230693
accee91bda805a8567731da18c43ce4b	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina	0.750083174030055
4d60d30abeea292f90af2a25e3e497fc	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Cryomonadida; f__Protaspidae; g__Cryothecomonas	0.9028397633805573
733639c8985c9d5776b0448d0e8d99d7	d__Eukaryota; p__Diatomea; c__Coscinodiscophytina; o__Coscinodiscophytina; f__Rhizosolenids; g__Guinardia; s__Guinardia_striata	0.9736344241138783
b8445860f7c7860e77f636f8c3b778ac	d__Eukaryota	0.9999999996143552
1dd9bfd7ffa6da8dd2dd4085bb068aa1	d__Eukaryota; p__Diatomea; c__Coscinodiscophytina; o__Coscinodiscophytina; f__Rhizosolenids; g__Leptocylindrus; s__uncultured_stramenopile	0.9987727659953135
ec6cfa8c6f8a3e82229c2eb55ce7d9ff	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Amoebophrya; s__eukaryote_clone	0.9806743639864955
